institution,degree_level,program,courses,descriptions
University of Houston,undergraduate,"Industrial Design, B.S.","Introduction to Architecture Design, Industrial Design, & Interior Arch Design Studio I First Year Writing I The U S To 1877 College Algebra Design Since 1945 Industrial Design Studio II First Year Writing II Visual Thinking Precalculus Industrial Design Studio III Visual Communication Materials and Fabrication Methods Design History I Introductory General Physics I Industrial Design Studio IV Computer Aided Industrial Design I Design History II Materials and Manufacturing Methods Design Research Methods I Introductory General Physics II Industrial Design Studio V Design Issues I Computer Aided Indus Design II Human Factors The U S Since 1877 Industrial Design Studio VI Design Research Methods II U.S. and Texas Constitution and Politics Design Internship Industrial Design Studio VII Design Issues II Industrial Design Studio VIII U.S. Government: Congress, President, and Courts","Introduction to architecture, industrial design, and interior architecture theory, history, technology, and practice. Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: HIST 1301 TCCNS Equivalent: MATH 1314 Core Category: [81] Writing in the Disciplines Basic principles of industrial design and 2D/3D visual communication skills. Students must pass the freshman portfolio review to successfully complete the course. TCCNS Equivalent: ENGL 1302 Visual thinking and visualization processes using diverse materials and media. Emphasis on creative and critical thinking through hands-on drawing exercises and explorations. TCCNS Equivalent: MATH 2312 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Hands-on exploration of the creative possibilities of low-volume production, material exploration and fabrication methods. Investigation through prototyping techniques involving various plastics, woods, metals and casting materials. Core Category: [50] Creative Arts TCCNS Equivalent: PHYS 1301 Development of creative design problem solving with appropriate design processes. Introduction to the process of exploring designs with three-dimensional modeling and rendering program with Solid Works. Core Category: [50] Creative Arts Understanding large volume production, material specification and manufacturing processes common in the industrial design field. Emphasis on plastic manufacturing and integration with CAD modeling. Introduction to fundamental methods of design research with an emphasis on surveys, questionnaires, and market research. TCCNS Equivalent: PHYS 1302 Additional Fee $2.00 Fee Type Lab Fee Reading and discussions of sustainable and universal design movement and practices. Additional Fee $2.00 Fee Type Lab Fee Survey of anthropometry, perception, and man-machine interface. Focuses on the use and application of existing human factors to case studies. TCCNS Equivalent: HIST 1302 Integration of diverse design methods and techniques to develop innovative products. Analysis of product content and context, including social, cultural, and environmental elements. Human-centered methods of design research. Formulating, analyzing, and synthesizing information into an actionable design goal. Emphasis on qualitative research methods and application through the design process. TCCNS Equivalent: GOVT 2306 Application of design knowledge and techniques through work experience at design consultancies or related companies. Requires employer evaluation. Additional Fee $2.00 Fee Type Lab Fee Reading and discussions of important contemporary design issues, ideas, trends, movements, and criticism to understand the relationship of design to society and culture. Senior project proposal will be developed and proposed for INDS 4501. Continuation of INDS 4500. Student’s design process and final design are presented at the juried graduation exhibition. TCCNS Equivalent: GOVT 2305"
University of Houston,undergraduate,Industrial Engineering (as a Second Bachelor),Engineering Statistics I Engineering Economy I Engineering Statistics II Stochastic Models Linear Optimization Manufacturing Processes Analysis of Industrial Activities Facilities Planning and Design Operation Control,"ENGR majors must also have credit for CHEE 1331, CIVE 1331, ECE 1331, INDE 1331, MECE 1331 or equivalent and permission of chair. Probability and statistical inference for engineering applications; probability distributions, estimation, statistical tests, and reliability theory. Time value of money, depreciation, after tax evaluation, decisions under uncertainty and risk. Economic evaluation of engineering alternatives and proposals. Quality control, sampling plans, control charts, hypothesis testing, multiple regression, analysis of variance, design of experiments, and applications to engineering problems. Probability models, Markov chains, inventory models, queueing theory, game theory, and dynamic programming. Matrices and simultaneous equations, simplex algorithm, primal-dual methods, sensitivity analysis, integer programming, and industrial applications of linear programming. Introduction to manufacturing systems, engineering manufacturing processes, design and machining of components. Analysis of production systems to determine systems capacity and capacities in situations involving complex mechanical-human interactions. Establishment of production standards. Problems in instrumentation and recording. Planning and design of production systems, man-machine systems, and related systems in other operational environments. Design of systems to control production, inventories, and other processes in industry. Development of planning, coordination, and control of specific operations, with an emphasis on computerized data processing."
University of Houston,undergraduate,"Industrial Engineering, B.S.I.E.","Fundamentals of Chemistry Fundamentals of Chemistry Laboratory First Year Writing I Introduction To Engineering Calculus I Computing and Problem Solving for Engineers First Year Writing II The U S To 1877 Calculus II University Physics I Engineering Statistics I Financial and Cost Management Calculus III University Physics II U.S. and Texas Constitution and Politics Introduction to Mechanics Technical Communications for Engineers Engineering Economy I Computer Applications for Industrial Engineering Engineering Mathematics Stochastic Models Engineering Statistics II Manufacturing Processes Statistical Process Quality Control and Improvement U.S. Government: Congress, President, and Courts Computer Aided Design/ Computer Aided Manufacturing Analysis of Industrial Activities Facilities Planning and Design Linear Optimization Discrete Event Simulation Industrial Engineering Seminar Computer Integrated Manufacturing Introduction to Thermodynamics The U S Since 1877 Supply Chain Design and Management Engineering Systems Design Human Factors and Ergonomics Operation Control","TCCNS Equivalent: CHEM 1311 TCCNS Equivalent: CHEM 1111 TCCNS Equivalent: ENGL 1301 Overview of engineering, information about various engineering disciplines, instroductory problem-solving, engineering design, and engineering ethics. TCCNS Equivalent: MATH 2413 Introduction to computing; matrix arithmetic, programming constructs, algorithms and graphical visualization using MATLAB; problem solving applications in engineering analysis and design. TCCNS Equivalent: ENGL 1302 TCCNS Equivalent: HIST 1301 TCCNS Equivalent: MATH 2414 Additional Fee $2.00 Fee Type Lab Fee ENGR majors must also have credit for CHEE 1331, CIVE 1331, ECE 1331, INDE 1331, MECE 1331 or equivalent and permission of chair. Probability and statistical inference for engineering applications; probability distributions, estimation, statistical tests, and reliability theory. Methods for collecting, organizing, presenting, interpreting, managing, and controlling of financial and cost management related information for decision making in enterprises. TCCNS Equivalent: MATH 2415 Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: GOVT 2306 Not for mechanical engineering majors. Statics of bodies, analysis of deformation and stress in elastic solids subject to bending and torsion, dynamics of particles, and mechanical vibrations. Core Category: [81] Writing in the Disciplines Time value of money, depreciation, after tax evaluation, decisions under uncertainty and risk. Economic evaluation of engineering alternatives and proposals. Structured programming in Visual Basic with numerical analysis applications in industrial engineering. Introduction to computer aided drafting software. Students may not receive credit for both MATH 3321 and MATH 3331. First order ordinary differential equations and initial value problems; higher order differential equations; vector spaces, matrices, determinants, eigenvectors and eigenvalues; applications to systems of first order equations; Laplace transforms. Probability models, Markov chains, inventory models, queueing theory, game theory, and dynamic programming. Quality control, sampling plans, control charts, hypothesis testing, multiple regression, analysis of variance, design of experiments, and applications to engineering problems. Introduction to manufacturing systems, engineering manufacturing processes, design and machining of components. Probability theory, concepts of random variable, expectation, variance, probability distribution, statistical test and inference. Statistical process quality control. Total Quality Control and Six Sigma. TCCNS Equivalent: GOVT 2305 Computer aided design, computer aided manufacturing, and manufacturing database systems. Analysis of production systems to determine systems capacity and capacities in situations involving complex mechanical-human interactions. Establishment of production standards. Problems in instrumentation and recording. Planning and design of production systems, man-machine systems, and related systems in other operational environments. Matrices and simultaneous equations, simplex algorithm, primal-dual methods, sensitivity analysis, integer programming, and industrial applications of linear programming. Computer modeling and analysis of manufacturing and service processes. Data input analysis, model development, animation, verification and validation, experimental design, output analysis. Speakers, reports, and discussion of current industrial engineering topics. Emphasis on technical report writing. CIM system concepts and technology. Integration of manufacturing planning, design and operation. Integration with other MRP, ERP, SCM, CRM systems. Issues for implementation of trends and directions of CIM. Fundamental concepts, thermodynamic systems and applications, heat and work, properties of pure substances, first and second laws of thermodynamics. TCCNS Equivalent: HIST 1302 Logistics network, inventory and demand management, value of information, distribution channels coordination, global supply chain, and related information technology. Applications of analytical, experimental, and computational techniques in open-ended problems supplied by industry and faculty. Measurement and evaluation of human-machine systems; techniques and procedures for developing and applying principles of human factors engineering to system design. Design of systems to control production, inventories, and other processes in industry. Development of planning, coordination, and control of specific operations, with an emphasis on computerized data processing."
University of Houston,undergraduate,"Integrated Communication, B.A.",Media and Society Communication Law & Ethics Writing for Print and Digital Media Principles of Integrated Communication Principles of Public Relations Media Planning & Placement Advertising Campaign Competition Integrated Communication Campaigns Public Relations Campaigns Advertising Account Planning Editing for Print and Digital Media Multimedia Production I Graphics Applications Desktop Publishing Information & Communication Technologies I Business and Professional Communication Advertising Copywriting Global & Multicultural Advertising Public Relations Writing Strategic Social Media Persuasion Organizational Crisis Communication Organizational Communication Intercultural Communication and Organizations Advertising Campaign Competition Integrated Communication Campaigns Digital Public Relations and Advertising Public Relations Campaigns Advertising Portfolio Strategic Communication Applications Professional Internship Selected Topics Communication Independent Study Introduction to Marketing,"TCCNS Equivalent: COMM 1307 Developments changing communication: legislative, legal and ethical issues relative to First Amendment rights and philosophical issues. TCCNS Equivalent: COMM 2311 Advertising theories and techniques within an integrated communication context. Public relations theories and techniques in business, government, and the social services. Application of media planning principles to create an integrated communications plan. Application of creative media and strategic advertising principles in developing a complete advertising campaign for national competition. Application of integrated communication principles to develop and execute a campaign. Public relations campaign strategies and case histories, including the design and partial implementation of a public relations program for selected clients. May be repeated once for credit. Editing messages such as public relations, advertising, news, features for print, broadcast, digital media; headline and caption writing; introduction to publication design; photo use and cropping; graphics, visuals. Fundamentals aspects of computer-based multimedia production for mass media and corporate applications. Application of computer graphics and type principles in print journalism, advertising, art, and public relations. History, theory, and practice of page layout and design using a computer. Creation and manipulation of computer graphics for print media and use of desktop systems to produce camera-ready copy. Internet and basic transactions across the World Wide Web in the convergent mass communication computing environment. Explores the intersection and implications of information and communication technologies. Intended for juniors and seniors in business and the professions. Communication activities in business and professional settings with emphasis on oral presentations, interviews, negotiations, and group processes. Techniques of writing and developing advertisements for offline and online media. Study of the major concepts of international advertising and their importance to global marketing and communication activities around the world, the history and current state of international and cross-cultural advertising practice, and the influence of cultural factors on international and cross-cultural advertising and communication practices. Preparing memoranda, releases, reports, publicity features, public service announcements, speeches, and other specialized writing. Study of issues at the intersection of strategic communication and social media, including how social media is used by organizations and brands. Theories, methods, and ethics of persuasion and social influence. Study of how organizations plan for, train for, and respond to crises. Theory and research associated with the study of communication in complex organizations. Study of the theory and practice of intercultural communication as it influences organizational behavior, including the effects of cultural diversity on communication within multicultural organizations and the impact of intercultural interactions on communication in organizations. Application of creative media and strategic advertising principles in developing a complete advertising campaign for national competition. Application of integrated communication principles to develop and execute a campaign. Incorporation of the Internet into integrated communication. Advertising models, promotion activities, relationship marketing and research methodology. Web audience measurement and Internet user characteristics and behavior. Public relations campaign strategies and case histories, including the design and partial implementation of a public relations program for selected clients. Developing a portfolio to show student-produced work in advertising. Course may be repeated once for elective credit. Note: May be repeated once for elective credit. Note: May be repeated for credit with approval of advisor when topics vary. Prerequisite: None. Departmental approval and consent of instructor. Analysis of the political, social, legal, and economic environments. Formulation of strategies and tactics for the design, pricing, channels, and promotion of products/services."
University of Houston,undergraduate,"Interior Architecture, B.S.","Introduction to Architecture Design, Industrial Design, & Interior Arch Design Studio I First Year Writing I The U S To 1877 College Algebra Design Since 1945 Design Studio II First Year Writing II The U S Since 1877 Precalculus Architecture and Interior Architecture Design Studio III Technology I Survey of Architectural History I Introductory General Physics I Interior Architecture Design Studio IV Technology 2 Programming & Bldg Regulations Survey of Architectural History II Introductory General Physics II Interior Architecture Design Studio V History of Interior Architecture Human Factors U.S. and Texas Constitution and Politics Interior Architecture Design Studio VI Materials & Methods of Interior Architecture U.S. Government: Congress, President, and Courts Interior Architecture Design Studio VII Senior Project Preparation Architecture Design Studio VIII Practice of Interior Architecture","Introduction to architecture, industrial design, and interior architecture theory, history, technology, and practice. Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: HIST 1301 TCCNS Equivalent: MATH 1314 Core Category: [81] Writing in the Disciplines Analysis of spatial strategies, ordering systems, and design communication through analog and digital means. Introduction to the design process. TCCNS Equivalent: ENGL 1302 TCCNS Equivalent: HIST 1302 TCCNS Equivalent: MATH 2312 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: PHYS 1301 Development of design process and communication media; qualifying and quantifying aspects of interior building design. Intermediate level building science. Preparation of a program for an architectural project, including client and user needs, space and equipment requirements, site conditions, relevant laws and standards, and site selection and design assessment criteria. Core Category: [50] Creative Arts TCCNS Equivalent: PHYS 1302 Additional Fee $2.00 Fee Type Lab Fee Architectural interiors from ancient Egypt to the present, with attention to cultural, philosophical, and technical influences. Survey of anthropometry, perception, and man-machine interface. Focuses on the use and application of existing human factors to case studies. TCCNS Equivalent: GOVT 2306 A continuation of INAR 3500 with emphasis on the development of diverse building programs in individual studios. Construction systems, advanced and emerging technologies and materials, scheduling, budgeting, sustainability, and life safety issues for architectural interiors. TCCNS Equivalent: GOVT 2305 Additional Fee $2.00 Fee Type Lab Fee Senior project topic development and written project proposal. Design development and technical documentation. Office operations and project administration in the practice of interior architecture."
University of Houston,undergraduate,"Interpersonal Communication, B.A.","Media and Society Communication Law & Ethics Interpersonal Communication Relational Communication Communication in the Family Persuasion Crisis Communication Intercultural Communication and Organizations Fundamentals of Public Speaking Food As Communication End of Life Communication Effective Meeting Management Advanced Public Speaking Small Group Process Business and Professional Communication Principles of Public Relations Gender and Media Media Effects Social Issues in Journalism Sex, Love, and Romance in Popular Culture Television and the Familiy Family in Popular Culture Organizational Communication Media, Power, and Society The Social Impact of New Information Technology Professional Internship Selected Topics Communication Independent Study","TCCNS Equivalent: COMM 1307 Developments changing communication: legislative, legal and ethical issues relative to First Amendment rights and philosophical issues. TCCNS Equivalent: SPCH 1318 Current research and theories concerning communication processes and dynamics involved in personal and professional relationships. Theories and research covering communication in the development of the family with an emphasis on parent-child and sibling communication. Theories, methods, and ethics of persuasion and social influence. Advanced interpersonal communication concepts dealing with relationship disintegration and crisis intervention. Study of the theory and practice of intercultural communication as it influences organizational behavior, including the effects of cultural diversity on communication within multicultural organizations and the impact of intercultural interactions on communication in organizations. TCCNS Equivalent: SPCH 1315 Exploration of the ways food functions symbolically and materially as a communicative practice, and how we can examine those stories and then communicate them in a meaningful manner. Mature examination of communication issues related to death and dying. Procedures for planning and conducting meetings, including large conventions, board meetings, and informal committees. Advanced experiences in research, development, presentation of public addresses with emphasis on rhetorical criticism. Principles of group dynamics with attention to problem-solving activities. Intended for juniors and seniors in business and the professions. Communication activities in business and professional settings with emphasis on oral presentations, interviews, negotiations, and group processes. Public relations theories and techniques in business, government, and the social services. Examination of historical and current portrayals of gender and gender issues in communication media. Effects of media upon individuals, institutions, and societies through the literature of communication. Societal problems as portrayed in the press and electronic media. The role of journalism and its impact on social issues. Interaction between public discourse and its social, political, economic, and cultural context. Analyzes and evaluates the depiction of love, sex, and romance in popular culture to increase sensitivity to and understanding of such images. Television portrayals of the family and the processes and relational consequences associated with family use of television. Portrayal of family in popular media, including comics, radio, movies, television, and music, and how those popular images influence the expectations that audiences construct about family life and family relations. Theory and research associated with the study of communication in complex organizations. Critical study of media as a social force in modern society. Advanced study and analysis of the cultural and social impact of contemporary communication/information technology. Note: May be repeated once for elective credit. Note: May be repeated for credit with approval of advisor when topics vary. Prerequisite: None. Departmental approval and consent of instructor."
University of Houston,undergraduate,"Italian Studies, B.A.","Second Year Italian I Second-Year Italian II Accelerated Italian Second Year Reading in Italian Literature to the Eighteenth Century Reading in Italian Literature since Eighteenth Century Italian Conversation and Composition Culture of Italy Italian Culture Through Films Italian Renaissance Italian Heritage Survey of Italian Literature Theater in Italy: Text, Audience, and Performance Dante and His World Women Writers and Filmmakers of Modern Italy Italian Culture in English Translation Survey of Italian Literature Dante and His World The Culture of Architecture Latin Classics in Translation Women in the Ancient World The Roman Republic Law and Society in Ancient Rome Greek and Roman Myths of Heroes Myths and Cult of the Greek Gods European Renaissance Ancient Rome Sel Top-European Hist Flowering of the Middle Ages Listening to Music Masterworks Listening to World Music Opera Literature History of the Theatre I History of the Theatre II World Cultures Through Literature and Art World Cinema Frames of Modernity I Frames of Modernity II - Postmodernity and Globalization Frames of Modernity III: Classics and Modernity World Film & Film Theory","Grammar review, selected readings, conversation, and composition. Grammar review, selected readings, conversation, and composition. Note: Students can take ITAL 2601 after taking ITAL 2301. After completing ITAL 2601, students cannot take ITAL 2302. Masterpieces of Italian literature from the thirteenth to the eighteenth century. Masterpieces of Italian literature from eighteenth century to present. Discussions and composition in Italian on subjects of everyday life and current questions. Overview of the culture of Italy through readings about its history, art, society, and politics. Taught in Italian. Core Category: [40] Language, Philosophy, & Culture Core Category: [81] Writing in the Disciplines Core Category: [40] Language, Philosophy, & Culture Core Category: [40] Language, Philosophy, & Culture Note: May apply to major in Italian Studies, minor in Italian. Credit for ITAL 3345 may not be applied toward a degree by students who have credit for ITAL 3346. Core Category: [81] Writing in the Disciplines Core Category: [81] Writing in the Disciplines Survey of Italian art, history, government, civilization in the European-Mediterranean context, immigration and current issues. Taught in English. Core Category: [40] Language, Philosophy, & Culture Core Category: [81] Writing in the Disciplines An investigation of how architects learn, think, and work in our own time and times past. Special emphasis is given to the Modern Movement and its critics and to the thought and production of influential architects and theories including Alberti, Palladio, Ruskin, Viollet-le-Duc, Guadet, Loos, Le Corbusier and Venturi and Scott Brown. Core Category: [81] Writing in the Disciplines Core Category: [40] Language, Philosophy, & Culture Social, political, and cultural history of Rome, from its foundation to the Fall of the Republic, 753-27BCE. Taught in English. A survey of key Roman legal ideas and texts from the archaic period to the late Republic and early Empire. Special attention paid to the law’s relation to Rome’s religion and changing social and political structures. Through Cicero the course explores the situation of the practicing advocate in complicated times. Ends with a look at later Roman jurisprudence. Core Category: [40] Language, Philosophy, & Culture Core Category: [40] Language, Philosophy, & Culture The European Renaissance from the historical and cultural perspectives of literature, history, philosophy, art, architecture, music, drama, and technology. The Roman world from the origins of the state to the barbarian invasions. May be repeated for credit when topics vary. Core Category: [40] Language, Philosophy, & Culture Additional Fee $55.00 Fee Type Music Concert/Perf Pass Core Category: [50] Creative Arts Survey of opera literature from its Baroque era beginnings through the present day. Survey of theatrical theory and practice from Ancient Greece through the Early Modern Era with special attention paid to cultural, philosophical, and religious contexts. Survey of theatrical theory and practice from the eighteenth century to the present with particular focus on historical avant-garde movements and contemporary world drama. Core Category: [40] Language, Philosophy, & Culture Core Category: [40] Language, Philosophy, & Culture Core Category: [81] Writing in the Disciplines Core Category: [81] Writing in the Disciplines Use of ancient Greek and Roman concepts by modern and postmodern thinkers, artists, and authors. Taught in English. Core Category: [81] Writing in the Disciplines"
University of Houston,undergraduate,"Journalism, B.A.","Media and Society Communication Law & Ethics Writing for Print and Digital Media Editing for Print and Digital Media Intermediate Writing and Reporting Multimedia Journalism Future of Global Journalism News and Social Media Electronic News Opinion Writing Feature Writing for Print and Digital Media Investigative Reporting Advanced Electronic News Fundamentals of Media Production Audio Production Multimedia Production I Photojournalism I Graphics Applications Desktop Publishing Information & Communication Technologies I Electronic Field Production Non-linear Editing Future of Global Journalism Gender and Media Television: History and Culture Media Effects Popular Culture and the Mass Media Social Issues in Journalism Media, Power, and Society Propaganda and Mass Communication The Social Impact of New Information Technology Professional Internship Selected Topics Communication Independent Study Writing for Print and Digital Media Fundamentals of Media Production Electronic News Multimedia Journalism Editing for Print and Digital Media News and Social Media Opinion Writing Feature Writing for Print and Digital Media Investigative Reporting Advanced Electronic News Multimedia Production I Photojournalism I Graphics Applications Desktop Publishing Media Performance Information & Communication Technologies I Electronic Field Production Non-linear Editing Media Management Gender and Media Television: History and Culture Media Effects Popular Culture and the Mass Media Social Issues in Journalism Media, Power, and Society Propaganda and Mass Communication The Social Impact of New Information Technology Documentary Filmmaking Professional Internship Selected Topics Communication Independent Study","TCCNS Equivalent: COMM 1307 Developments changing communication: legislative, legal and ethical issues relative to First Amendment rights and philosophical issues. TCCNS Equivalent: COMM 2311 Editing messages such as public relations, advertising, news, features for print, broadcast, digital media; headline and caption writing; introduction to publication design; photo use and cropping; graphics, visuals. Gathering and writing news with emphasis on publishing in the student newspaper. Fundamentals of using multiple media to produce content for print, broadcast and online platforms. Learn about the practice and future of journalism across the globe as you learn how reporting is impacted by different political systems and how new, transnational media outlets have emerged. Students will also learn about foreign reporting, what it entails to live abroad while working for a U.S. media organization. Typically Offered: Fall & Spring Theory and practice of assembling, writing, and presenting news for the electronic media. Preparing elements of editorial page: research and writing of commentaries, columns, and editorials. Developing ideas, gathering material, and producing feature reports and query letters for print and digital media. News coverage of issues and problems of governments, businesses, urban institutions, and the public at large in an investigative context. Advanced study and exercises in writing, producing, and presenting electronic news. Fundamentals of current and emerging production techniques in media industries. Audio as a medium of influence and expression with applied emphasis on audio production techniques used in radio, TV/cable, and film industries. Fundamentals aspects of computer-based multimedia production for mass media and corporate applications. Techniques of taking and developing pictures for the mass media. Application of computer graphics and type principles in print journalism, advertising, art, and public relations. History, theory, and practice of page layout and design using a computer. Creation and manipulation of computer graphics for print media and use of desktop systems to produce camera-ready copy. Internet and basic transactions across the World Wide Web in the convergent mass communication computing environment. Explores the intersection and implications of information and communication technologies. Single camera video production and electronic post-production theories and techniques applied to the creation of information and entertainment programs. Introduction to computer-based non-linear editing using integrated software packages. Learn about the practice and future of journalism across the globe as you learn how reporting is impacted by different political systems and how new, transnational media outlets have emerged. Students will also learn about foreign reporting, what it entails to live abroad while working for a U.S. media organization. Examination of historical and current portrayals of gender and gender issues in communication media. Study of the development history of television as a mass communication medium within the context of the modernization of American society and culture. Effects of media upon individuals, institutions, and societies through the literature of communication. Examination of the cultural content and contributions of the mass media with emphasis on the role played by the mass media in the shaping of modern society. Societal problems as portrayed in the press and electronic media. The role of journalism and its impact on social issues. Interaction between public discourse and its social, political, economic, and cultural context. Critical study of media as a social force in modern society. History, theory, development, and impact of propaganda as a controversial mass communication strategy for influencing public opinion. Advanced study and analysis of the cultural and social impact of contemporary communication/information technology. Note: May be repeated once for elective credit. Note: May be repeated for credit with approval of advisor when topics vary. Prerequisite: None. Departmental approval and consent of instructor. TCCNS Equivalent: COMM 2311 Fundamentals of current and emerging production techniques in media industries. Theory and practice of assembling, writing, and presenting news for the electronic media. Fundamentals of using multiple media to produce content for print, broadcast and online platforms. Editing messages such as public relations, advertising, news, features for print, broadcast, digital media; headline and caption writing; introduction to publication design; photo use and cropping; graphics, visuals. Typically Offered: Fall & Spring Preparing elements of editorial page: research and writing of commentaries, columns, and editorials. Developing ideas, gathering material, and producing feature reports and query letters for print and digital media. News coverage of issues and problems of governments, businesses, urban institutions, and the public at large in an investigative context. Advanced study and exercises in writing, producing, and presenting electronic news. Fundamentals aspects of computer-based multimedia production for mass media and corporate applications. Techniques of taking and developing pictures for the mass media. Application of computer graphics and type principles in print journalism, advertising, art, and public relations. History, theory, and practice of page layout and design using a computer. Creation and manipulation of computer graphics for print media and use of desktop systems to produce camera-ready copy. Performance techniques for media professionals in news, information, commercial, and entertainment programming. Internet and basic transactions across the World Wide Web in the convergent mass communication computing environment. Explores the intersection and implications of information and communication technologies. Single camera video production and electronic post-production theories and techniques applied to the creation of information and entertainment programs. Introduction to computer-based non-linear editing using integrated software packages. Administration of media properties, government and labor relationships, financing, scheduling, sales, and taxation. Examination of historical and current portrayals of gender and gender issues in communication media. Study of the development history of television as a mass communication medium within the context of the modernization of American society and culture. Effects of media upon individuals, institutions, and societies through the literature of communication. Examination of the cultural content and contributions of the mass media with emphasis on the role played by the mass media in the shaping of modern society. Societal problems as portrayed in the press and electronic media. The role of journalism and its impact on social issues. Interaction between public discourse and its social, political, economic, and cultural context. Critical study of media as a social force in modern society. History, theory, development, and impact of propaganda as a controversial mass communication strategy for influencing public opinion. Advanced study and analysis of the cultural and social impact of contemporary communication/information technology. Typically Offered: Fall & Spring Note: May be repeated once for elective credit. Note: May be repeated for credit with approval of advisor when topics vary. Prerequisite: None. Departmental approval and consent of instructor."
University of Houston,undergraduate,"Liberal Studies, B.A.",Introduction to Liberal Studies Liberal Studies Senior Seminar Power Writing,"Core Category: [40] Language, Philosophy, & Culture Classic works in world literature from across the disciplines. Students will integrate content and methodology from their three minors that constitute the Liberal Studies major, aimed at a broad Liberal Studies perspective. Develop effective writing with a focus on organizational, business and cross-cultural contexts."
University of Houston,undergraduate,"Liberal Studies, B.S.",Introduction to Liberal Studies Liberal Studies Senior Seminar Power Writing,"Core Category: [40] Language, Philosophy, & Culture Classic works in world literature from across the disciplines. Students will integrate content and methodology from their three minors that constitute the Liberal Studies major, aimed at a broad Liberal Studies perspective. Develop effective writing with a focus on organizational, business and cross-cultural contexts."
University of Houston,undergraduate,"Management Information Systems, B.B.A.","Systems Analysis and Design Information Systems Development Tools Transaction Processing Systems I Business Applications of Database Management I Information Technology Project Management Admin of Computer-Based MIS Transaction Processing Systems II Transactions Processing III Business Systems Consulting Management of Information Security Business Applications of Database Management II Energy Trading Systems Selected Topics in Management Information Systems Network and Security Infrastructure First Year Writing I First Year Writing II Connecting Bauer to Business Introduction to Psychology Introduction to Sociology Introduction to Computers and Management Information Systems Finite Math with Applications Calculus for Business and the Life Sciences Calculus I Accounting Principles 1 - Financial Accounting Principles 2 -Managerial Microeconomic Principles Macroeconomic Principles Statistical Analysis for Business Applications I The United States To 1877 The U S To 1877 The U S Since 1877 The United States Since 1877 U.S. and Texas Constitution and Politics U.S. Government: Congress, President, and Courts Supply Chain Management Fundamentals Principles of Financial Management Introduction to Organizational Behavior and Management Introduction to Marketing Professional Selling Business and Professional Communication Introduction to Global Business Global Environment of Business Business Law and Ethics","Methods for analyzing information needs and designing, evaluating, and implementing computer-based information systems. Structures and adaptive techniques for analysis and design. Survey of development options in commercial application systems, including structured methods and programming tools. Transaction driven information systems including system design, file design, program structure, and internal control. Transaction driven information systems including system design, file design, program structure, and internal control. Management of information technology projects. Developing and managing computer-based management information systems. MIS departmental organizational structures, information systems planning, and managing system development projects. Development and implementation of transaction processing systems with emphasis on operating systems and programming considerations. A continuation of the transaction processing sequence in the client-server environment with emphasis on the technical aspects of internal controls, security, and audit. Practical aspects of evaluation, implementation, and design of complex information systems. Models and techniques for managing and controlling the security of an organization’s information assets. Techniques for implementing the logical design of business database applications using current database development tools. Computer technologies, processes and practices in support of energy commodity trading with emphasis on the US domestic market. Note: May be repeated when topics vary. Coordination of the hardware and software components of data communications systems including laboratory experience. TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: ENGL 1302 Note: Credit not given for both GENB 3302 and GENB 3301. Students who change their major to business with credit for GENB 3301 may substitute it for GENB 3302 and must meet the business writing evaluation requirement. TCCNS Equivalent: PSYC 2301 TCCNS Equivalent: SOCI 1301 Fundamental concepts of information systems used in business including the use of computer tools to aid in business decision making. TCCNS Equivalent: MATH 1324 TCCNS Equivalent: MATH 1325 TCCNS Equivalent: MATH 2413 TCCNS Equivalent: ACCT 2301 TCCNS Equivalent: ACCT 2302 TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Random variables and their probability distributions; sampling distributions; point and interval estimation; hypothesis testing; correlation and linear regression. Core Category: [60] American History TCCNS Equivalent: HIST 1301 TCCNS Equivalent: HIST 1302 Core Category: [60] American History TCCNS Equivalent: GOVT 2306 TCCNS Equivalent: GOVT 2305 Concepts and techniques used to plan, source, make and deliver products and services meeting customer needs in a global environment. Topics include supply chain strategy, forecasting, inventory management, logistics, and operations management, among others. Time value of money, principles of corporate financial management and investments. Note: Credit for both MANA 3335 and MANA 3333: 3334 cannot be applied toward a degree. Analysis of the political, social, legal, and economic environments. Formulation of strategies and tactics for the design, pricing, channels, and promotion of products/services. Basic concepts of selling. Intended for juniors and seniors in business and the professions. Communication activities in business and professional settings with emphasis on oral presentations, interviews, negotiations, and group processes. Introduction to the concepts, institutions, and events associated with the globalization of business. Political issues and economic trends that influence and are influenced by the process of globalization, and an analysis of how globalization interacts with the nation-state and economic institutions. Core Category: [81] Writing in the Disciplines"
